id,file_id,from_employee_id,to_employee_id,performed_by_user_id,action_type,remarks,created_at,action_date
6d4740e1-06e6-461f-a8c4-eef649ff64b6,ca33e672-bd63-45df-881d-7f3216c2b263,,436e1759-9f21-4071-a391-bea46f81b60a,c4b3b758-65ae-4223-a29e-a06b5673c736,initiated,File initiated,2026-01-01 05:45:32.196177+00,2026-01-02 16:29:04.671493+00
6d576a1d-3dbc-497c-bb10-d0c3d33b0933,51289c22-eeed-4b57-9de5-84d0f2e2dbda,eff66b18-307a-4a73-9ee2-a4835f7afb6a,321d5cfd-ec45-4d78-8e16-26fabed713e2,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:45:30.089455+00,2026-01-02 16:29:04.671493+00
6ea7a41f-f312-409f-9548-ad1745f1d3f8,5891f315-4f9d-4f22-9171-152700463add,de039bc4-66d8-4551-9f6d-80e7e31d34b3,8ca12ad2-f62d-430f-8057-c8a1fc41c0ef,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,"One P2P connection have to be put through for Sr DCM, Sealdah Division, Eastern Railway at Station Manager, Sonarpur Railway Station, PO- Sonarpur, Sonarpur Bazar, South 24 Parganas- 700150 (LC Id: 1000645008). One proposal is put up in Note No.- 302 .

Please give suggestions of the above mentioned proposal . ",2025-12-09 18:19:29.471878+00,2026-01-02 16:29:04.671493+00
6ebbd134-fcad-4a04-a315-85127bedb605,51289c22-eeed-4b57-9de5-84d0f2e2dbda,fde52b52-6ad0-4a0c-8193-3e9a7c733be9,b9514e2d-6667-49eb-8efa-ea165297faa8,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:46:59.531396+00,2026-01-02 16:29:04.671493+00
70f60aa4-1703-4be3-bfd1-e20a3433dbc0,51289c22-eeed-4b57-9de5-84d0f2e2dbda,e2bd2111-1dc8-4c9b-8c48-2764a26f24eb,eff66b18-307a-4a73-9ee2-a4835f7afb6a,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:45:13.432422+00,2026-01-02 16:29:04.671493+00
71aa1075-51e6-4755-9a05-06e618479f80,51289c22-eeed-4b57-9de5-84d0f2e2dbda,47e7204a-4fe9-43c1-82c4-9f33d63546b4,eff66b18-307a-4a73-9ee2-a4835f7afb6a,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:37:50.262438+00,2026-01-02 16:29:04.671493+00
76056c87-d78b-4748-89db-ea9bb51e1b56,ca33e672-bd63-45df-881d-7f3216c2b263,52eaaa8e-4a7a-4368-9fd1-7fe26475990d,a122c8b9-2136-42fa-b0e2-fe77959d9bc9,c4b3b758-65ae-4223-a29e-a06b5673c736,forwarded,forwarded,2026-01-01 06:06:21.925489+00,2026-01-02 16:29:04.671493+00
78acdaa8-c64a-42c5-b8aa-7225a840086f,51289c22-eeed-4b57-9de5-84d0f2e2dbda,47e7204a-4fe9-43c1-82c4-9f33d63546b4,eff66b18-307a-4a73-9ee2-a4835f7afb6a,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:43:44.803078+00,2026-01-02 16:29:04.671493+00
7e329afa-0e5e-4085-9368-fcf9b2132064,51289c22-eeed-4b57-9de5-84d0f2e2dbda,8ca12ad2-f62d-430f-8057-c8a1fc41c0ef,de039bc4-66d8-4551-9f6d-80e7e31d34b3,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:47:34.719713+00,2026-01-02 16:29:04.671493+00
8e89df20-7db6-4e9b-939d-7488c827975f,51289c22-eeed-4b57-9de5-84d0f2e2dbda,b9514e2d-6667-49eb-8efa-ea165297faa8,8ca12ad2-f62d-430f-8057-c8a1fc41c0ef,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:47:16.019761+00,2026-01-02 16:29:04.671493+00
