id,jc_id,incoming_segment_id,incoming_fiber_no,outgoing_segment_id,outgoing_fiber_no,splice_type_id,logical_path_id,loss_db,created_at,updated_at
17150147-2d97-4604-b925-382e529ff688,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,96,e5e0c301-653a-4480-849e-fda995588efa,12,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:57:49.613108+00,
1790370d-083f-41af-9b10-127ef85f8c92,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,30,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,30,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:04:23.157988+00,
179c87cb-1242-4fa2-9c00-6a5fd95ced7f,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,42,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,42,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:05:23.640122+00,
17d1fb9f-675d-4be0-94b4-86ebceb7d42b,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,33,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,33,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:04:34.465093+00,
18619cde-8850-45ee-b31a-c3f92f367a33,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,17,3e0aae2e-f820-4bc0-8083-db7bbd7cdd0d,17,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:03:25.829722+00,
1d3b0d0b-c62a-49cf-b8cf-cf5351fc3e7f,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,64,e5e0c301-653a-4480-849e-fda995588efa,16,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:58:54.014334+00,
1e46ff39-191e-4967-8f1f-ccf0aa0cc56d,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,15,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,15,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:02:59.633348+00,
1e4b26a8-fafa-4ead-9299-ab34a1c986f4,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,15,3e0aae2e-f820-4bc0-8083-db7bbd7cdd0d,15,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:03:14.494475+00,
20f9c9e4-b43d-4be8-8a11-e348b54dfecd,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,e5e0c301-653a-4480-849e-fda995588efa,16,984b6447-7128-4563-ad05-1d8d9f411f04,40,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:48:23.993815+00,
27fda238-fe6f-4ee4-853c-71254e64e575,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,69,e5e0c301-653a-4480-849e-fda995588efa,21,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:59:22.616544+00,
282cc214-3de9-453a-aabd-84e360b319a4,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,12,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,12,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:02:48.506703+00,
2833459a-c32b-4e14-9cdf-69efd255fe36,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,47,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,47,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:05:45.411086+00,
2c8762aa-6770-42a8-b69b-3591c608bdf5,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,e5e0c301-653a-4480-849e-fda995588efa,8,984b6447-7128-4563-ad05-1d8d9f411f04,32,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:47:44.401615+00,
2d8e9e08-6ffa-4aa7-9ecd-0f369f16c927,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,1,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,1,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:00:34.828855+00,
31d86cbe-4123-44ab-86f6-7264dc0a8045,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,66,e5e0c301-653a-4480-849e-fda995588efa,18,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:59:08.412035+00,
32a0e0ca-51db-49e5-831d-a834c5a5f283,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,14,3e0aae2e-f820-4bc0-8083-db7bbd7cdd0d,14,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:03:10.745613+00,
3376964a-8be7-427a-b6fb-85c8a3186908,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,e5e0c301-653a-4480-849e-fda995588efa,9,984b6447-7128-4563-ad05-1d8d9f411f04,33,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:47:49.226002+00,
35ad3331-1ec7-4455-ae4e-b226ac9bac43,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,20,3e0aae2e-f820-4bc0-8083-db7bbd7cdd0d,20,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:03:38.288999+00,
3b31b475-d8fe-4e3c-a9b6-6f6a942d9fe3,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,7,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,7,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:02:10.267538+00,
3fca7c7d-0c88-4aed-a80b-6a115a33dcfb,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,19,3e0aae2e-f820-4bc0-8083-db7bbd7cdd0d,19,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:03:34.385434+00,
3fe6db50-03a7-4348-94fd-a60d0633c5a8,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,13,3e0aae2e-f820-4bc0-8083-db7bbd7cdd0d,13,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:03:06.943273+00,
40282191-c00b-4ce9-8835-89452c376b10,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,20,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,20,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:03:27.661858+00,
41d87c37-5428-4ff4-b2d6-836ebe8eada3,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,6,8dbe964e-1b6a-413f-9109-b3682af33722,6,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:11:48.869452+00,
4325b37f-fbb2-4d8b-aa84-8a34871c4ea9,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,4,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,4,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:01:57.207925+00,
470fec36-3acf-4d82-afd5-04bb39bc7392,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,10,3e0aae2e-f820-4bc0-8083-db7bbd7cdd0d,10,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:02:51.501383+00,
48b8c77e-c26b-465d-b259-c6ed4da49a53,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,32,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,32,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:04:30.90562+00,
4ce3986f-a47c-4d70-9351-a36c050aa0bc,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,26,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,26,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:04:01.091235+00,
4f626e33-7517-4973-a135-38d704d7dfd3,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,e5e0c301-653a-4480-849e-fda995588efa,21,984b6447-7128-4563-ad05-1d8d9f411f04,45,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:48:52.69977+00,
4f989a42-2013-4d77-bfb1-5d64f63a00d0,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,e5e0c301-653a-4480-849e-fda995588efa,15,984b6447-7128-4563-ad05-1d8d9f411f04,39,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:48:20.159055+00,
519d3741-d62b-4576-948b-ebf000d1620c,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,90,e5e0c301-653a-4480-849e-fda995588efa,6,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:53:07.668953+00,
5419b6c1-48d6-4c10-80ec-57ffdd9d928a,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,11,3e0aae2e-f820-4bc0-8083-db7bbd7cdd0d,11,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:02:56.262159+00,
5539c635-4124-4e17-a67c-2b87df8fe6d1,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,27,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,27,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:04:04.952331+00,
570bfa31-d64e-429a-aa67-5d59a7b52c70,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,92,e5e0c301-653a-4480-849e-fda995588efa,8,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:53:17.488112+00,
57b6a62f-8eee-45e7-9724-059dd6df47df,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,93,e5e0c301-653a-4480-849e-fda995588efa,9,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:57:28.229588+00,
58096fbe-a353-400e-8d82-86093d354918,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,21,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,21,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:03:31.958737+00,
59c53b4b-11b9-46e6-a9bc-9eeef7e0a4de,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,88,e5e0c301-653a-4480-849e-fda995588efa,4,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:52:54.426904+00,
5de4fdd0-1f03-438b-8288-390531e854c3,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,2,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,2,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:01:47.761857+00,
