id,name,parent_id,status,created_at,updated_at
53b7c5d6-a9b7-48a1-8679-37651e7ecc13,ATT/TM/SLT,bc2b0e39-3bab-4ee7-8872-75690e13b345,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
553e4957-fef7-4793-b558-4894a7be9b3e,SDE/TM/COSSIPORE,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
58d20fd2-5b0f-41da-a06c-5be798ea902d,JTO/TM/UTP,22cc0565-b888-40ce-b717-25c6a423fc3c,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
59b2783a-d85c-4dee-90db-b777e4d4f501,JTO/TM/SHIBPUR-I,22cc0565-b888-40ce-b717-25c6a423fc3c,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
59ba9da3-38ef-4333-8cd7-1bbd52731309,SDE/TM/DDM,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
5b139068-0b04-414a-b7de-ccb6e1150ded,JE/TM/RUSSA,764b4e06-2573-44f7-8e7a-5757e22e751d,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
5d159327-28cc-4105-8a07-f881477b55c7,JE/TM/FRT,764b4e06-2573-44f7-8e7a-5757e22e751d,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
5d5e11c1-0fd4-410c-8311-49935182b4e7,JE/TM/UTP,764b4e06-2573-44f7-8e7a-5757e22e751d,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
5dd3cb53-6e7e-4cd4-af7d-49ded556fb87,JTO/TB/NOC,22cc0565-b888-40ce-b717-25c6a423fc3c,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
5e83febd-76d8-44dd-ac58-c70837c7f1c0,SDE/TM/JDP (L/A),ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
60e5abdf-7248-4bbf-bc99-6b41c58408a7,DE/TP-I,8d94be4c-3299-4d21-a54c-3ffd06b160cd,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
