id,route_name,sn_id,en_id,ofc_type_id,capacity,ofc_owner_id,current_rkm,transnet_id,transnet_rkm,asset_no,maintenance_terminal_id,commissioned_on,remark,status,created_at,updated_at
83746fe4-1b6e-43d8-94e3-64d406922d63,FULTALA MORE JC - BARUIPUR BHQ,4a7811fb-7b7b-4b46-8d8b-38205c6fe58f,2a5c8bd0-327a-4ef7-8a46-bdcbef37651a,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,0.390,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,"FULTALA MORE JC(1,2,5-8) - BARUIPUR BHQ(1,2,5-8)",true,,2025-10-29 00:00:00+00
848505a7-3cf4-4ffe-bf65-15a58eacb3b5,RAMCHANDRAPUR BTS – BJC RAMCHANDRAPUR AERIAL,528017c7-b844-4b84-81e4-c9fa425ca540,368108bf-4596-4f69-8e8a-b81bdb764b0e,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.860,170658,0.860,,4bc2a086-b131-47e1-9c20-f10650c0196d,2007-08-23,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
8705fb66-e58c-41df-bb68-300e0e98465d,BEGUMPUR JC - BEGAMPUR GP,e4553aea-b23d-4d1b-90a2-bc4b684d0042,2ba22e1b-581e-4b01-9fe4-2e00bea05f58,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,0.040,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,BEGUMPUR JC(1-2) - BEGAMPUR GP(1-2)  & BEGAMPUR GP(3-4) TO BEGUMPUR JC(1-2) OF OTHER SIDE,true,,2025-10-29 00:00:00+00
877ca586-2a92-4604-989f-611001655af0,BORAL – KAMALGAZI BTS-03,4655a834-c64f-48c8-90a0-6e4f9654acf1,abfa36d3-d0ed-486e-8f97-62651f7a9b9e,2ecb77f4-d9ff-4300-ab99-6118ad220ce1,48,ad3477d5-de78-4b9f-9302-a4b5db326e9f,2.730,173515,2.700,,4bc2a086-b131-47e1-9c20-f10650c0196d,2003-06-23,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
88710843-567c-41a9-b395-4ef24185edd0,HARIHARPUR GP – MALLICKPUR GP,6d2a25b4-5429-4a9a-8884-6087ad83c2c1,8281f3e9-64c6-4aad-aedf-97755aaac4a3,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,1.183,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,,2025-10-29 00:00:00+00
8980a87c-5fbd-4ee5-afe8-585a1c950a9c,BARUIPUR - GOBINDAPUR BYPASS J/C,b5bfbef5-356c-499b-ad2b-351b7ed6a845,5a344f14-e7b2-47a4-ad26-13219049f000,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,6.200,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,,2025-10-29 00:00:00+00
89fa53a1-0cc3-41ba-aa23-7d4874fc31cb,MISSION – NARENDRAPUR MISSION GATE BTS-01,376e5b44-4294-4b61-a411-2df818899fd0,e0834789-c315-4da7-8e13-13787f88be84,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.700,249645,0.700,990500906564,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
8acb9949-5260-4c4c-ab8c-f6af74d0d4fd,SURJAPUR HAT JC - NABAGRAM GP,431843f3-5af8-4169-a66a-0591a430bc46,af2ac182-bc29-4013-a602-3d70ab1676ad,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,1.570,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,"SURJAPUR HAT JC(5-24) - NABAGRAM GP(5-24) ",true,,2025-10-29 00:00:00+00
8c048885-41bb-446a-8366-d4f56952d0ef,BARUIPUR DRDO SERVER ROOM - BARUIPUR DRDO DATA CENTRE-01,1aeeac44-6574-4a1e-b796-a1598890b74e,51b21244-07e3-4464-ad7b-4ce70805d559,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.090,237650,0.090,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
8c29272a-4228-487e-b515-7306bb7a237d,PIYALI TOWN II BTS – BJC NARIDANA,5ff68e3d-96c7-41b7-a27e-53823346640a,81609ffc-55a8-4a2e-9283-bb903f109412,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.300,233304,0.300,,4bc2a086-b131-47e1-9c20-f10650c0196d,2022-12-14,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
8c2ddcbe-7083-40d3-8f96-c4009344d305,BARUIPUR STATION BAZAR BTS-UTTAR KALYANPUR BTS-01,286ec15e-6eee-488e-9fd8-16b7fb859853,6200287c-2244-4b89-ba91-932301dbcfd7,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,1.400,241287,1.400,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-12-07 00:00:00+00
8cfae6e9-7e96-4ee2-bc13-8e7dca0a5d7e,Sonarpur – Mission pally BTS,4dd05c04-dddb-44df-ab90-0b95b3ee5f11,70f7d909-f8b0-4171-a67b-6df6ffc170af,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,2.490,239007,1.050,,4bc2a086-b131-47e1-9c20-f10650c0196d,2023-09-25,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
90a01e7e-e792-4601-bf93-69ae298d1376,KAMALGAZI BTS⇔BJC KAMALGAZI CHOWK_2,abfa36d3-d0ed-486e-8f97-62651f7a9b9e,ebba4278-7d39-488b-8492-aca4001cf2c6,9735f097-e10e-40e6-ba15-b2dee2e76b80,96,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.500,,0.500,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-12-29 17:53:32.44968+00,2025-12-29 17:53:32.44968+00
945ed62e-79a8-48f3-a71a-34b54b1006ee,BARENDRA PARA BTS – SONARPUR,aeaa6688-ca5f-4a9d-9d72-28ac13063d15,4dd05c04-dddb-44df-ab90-0b95b3ee5f11,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.450,,0.000,990500638541,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-12-27 09:18:05.894842+00
95397732-9358-4448-9a1d-6fd3fc4e0f58,DIAMOND BEVARAGE – MISSION,c7c7c764-2284-4b93-925c-aac50857413e,376e5b44-4294-4b61-a411-2df818899fd0,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.350,244716,0.350,990500632924,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
957552ff-b669-4084-8179-148099085e99,DAKSHIN CHOWHATI BTS-BJC DHAMAITALA-01,f62efeda-0828-4bf3-b9c6-076aee551b93,c03c5411-e3a6-404e-a7fe-ffcae2255379,e137552b-9ae2-442b-bcc2-c435d7d64ba1,12,ad3477d5-de78-4b9f-9302-a4b5db326e9f,2.200,170714,2.200,,4bc2a086-b131-47e1-9c20-f10650c0196d,2010-10-13,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
95b2ff0b-98f6-4b23-9109-b8757d64c174,PRATAPNAGAR GP TAPPING JC (TEEMATHA MORE) – Kalikapur-II,6029436f-818b-4102-8382-a341ce2e6139,b3ba1d0c-d912-4635-a664-55d42fd7dede,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,0.080,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,,2025-10-29 00:00:00+00
